pixel_num_ratio: 0.978667   ;   ouput_choice_idx: 1
pixel_num_ratio: 2.571500   ;   ouput_choice_idx: 2
pixel_num_ratio: 2.072250   ;   ouput_choice_idx: 2
pixel_num_ratio: 0.348500   ;   ouput_choice_idx: 0
pixel_num_ratio: 8.424000   ;   ouput_choice_idx: 0
pixel_num_ratio: 3.444000   ;   ouput_choice_idx: 2
pixel_num_ratio: 6.984000   ;   ouput_choice_idx: 2
pixel_num_ratio: 10.179000   ;   ouput_choice_idx: 1
pixel_num_ratio: 0.380250   ;   ouput_choice_idx: 0
pixel_num_ratio: 3.120000   ;   ouput_choice_idx: 0
pixel_num_ratio: 11.766000   ;   ouput_choice_idx: 1
pixel_num_ratio: 7.241000   ;   ouput_choice_idx: 0
pixel_num_ratio: 0.196600   ;   ouput_choice_idx: 2
pixel_num_ratio: 0.810000   ;   ouput_choice_idx: 1
pixel_num_ratio: 0.714000   ;   ouput_choice_idx: 1
pixel_num_ratio: 1.491000   ;   ouput_choice_idx: 1
pixel_num_ratio: 3.504000   ;   ouput_choice_idx: 1
pixel_num_ratio: 0.984000   ;   ouput_choice_idx: 2
pixel_num_ratio: 4.592500   ;   ouput_choice_idx: 2
pixel_num_ratio: 4.836000   ;   ouput_choice_idx: 2
pixel_num_ratio: 1.025000   ;   ouput_choice_idx: 0
pixel_num_ratio: 7.200000   ;   ouput_choice_idx: 0
pixel_num_ratio: 6.399000   ;   ouput_choice_idx: 2
pixel_num_ratio: 0.727000   ;   ouput_choice_idx: 1
pixel_num_ratio: 0.377600   ;   ouput_choice_idx: 0
pixel_num_ratio: 7.140000   ;   ouput_choice_idx: 1
pixel_num_ratio: 0.855000   ;   ouput_choice_idx: 1
pixel_num_ratio: 0.167667   ;   ouput_choice_idx: 2
pixel_num_ratio: 4.940000   ;   ouput_choice_idx: 2
pixel_num_ratio: 7.008000   ;   ouput_choice_idx: 1
pixel_num_ratio: 0.481000   ;   ouput_choice_idx: 0
pixel_num_ratio: 1.380000   ;   ouput_choice_idx: 2
pixel_num_ratio: 14.478000   ;   ouput_choice_idx: 0
pixel_num_ratio: 2.257333   ;   ouput_choice_idx: 2
pixel_num_ratio: 0.033750   ;   ouput_choice_idx: 1
pixel_num_ratio: 0.282667   ;   ouput_choice_idx: 1
pixel_num_ratio: 0.144000   ;   ouput_choice_idx: 2
pixel_num_ratio: 2.054333   ;   ouput_choice_idx: 0
pixel_num_ratio: 8.470000   ;   ouput_choice_idx: 0
pixel_num_ratio: 0.805400   ;   ouput_choice_idx: 2
pixel_num_ratio: 7.701500   ;   ouput_choice_idx: 1
pixel_num_ratio: 4.218000   ;   ouput_choice_idx: 2
pixel_num_ratio: 1.942500   ;   ouput_choice_idx: 0
pixel_num_ratio: 2.657500   ;   ouput_choice_idx: 0
pixel_num_ratio: 6.745000   ;   ouput_choice_idx: 0
pixel_num_ratio: 3.138667   ;   ouput_choice_idx: 2
pixel_num_ratio: 0.387950   ;   ouput_choice_idx: 2
pixel_num_ratio: 1.179500   ;   ouput_choice_idx: 0
pixel_num_ratio: 0.059500   ;   ouput_choice_idx: 0
pixel_num_ratio: 5.905500   ;   ouput_choice_idx: 0
pixel_num_ratio: 4.662000   ;   ouput_choice_idx: 1
pixel_num_ratio: 16.129000   ;   ouput_choice_idx: 0
pixel_num_ratio: 6.336000   ;   ouput_choice_idx: 2
pixel_num_ratio: 2.904000   ;   ouput_choice_idx: 2
pixel_num_ratio: 6.384000   ;   ouput_choice_idx: 0
pixel_num_ratio: 12.880000   ;   ouput_choice_idx: 0
pixel_num_ratio: 2.303000   ;   ouput_choice_idx: 0
pixel_num_ratio: 1.670500   ;   ouput_choice_idx: 1
pixel_num_ratio: 6.873000   ;   ouput_choice_idx: 2
pixel_num_ratio: 1.510222   ;   ouput_choice_idx: 0
pixel_num_ratio: 2.363250   ;   ouput_choice_idx: 0
pixel_num_ratio: 3.191333   ;   ouput_choice_idx: 2
